opportunity_id,eci_id,advisor_sid,advisor_sid_raw,advisor_valid,account_record_type,product_service_type,stage_name,stage_group,amount,actual_assets,anticipated_investment_dt,created_dt,last_modified_dt,date_of_last_contact,days_to_close,is_stalled,comments,ai_read,ai_read_confidence,ai_read_evidence,ai_read_model,data_source
OPP00011,ECI3026,V000003,V000003,true,IndustriesHousehold,,Meeting Scheduled,MID,316308.13,0.00,2026-08-27 00:00:00,2026-02-04 00:00:00,2026-06-21 00:00:00,2026-03-02 00:00:00,58,false,spoke briefly,,,,claude-haiku-4-5-20251001,CRM
OPP00012,ECI3047,V000004,V000004,true,Strategic_Household,,Contact Made,EARLY,1707358.57,0.00,2026-07-20 00:00:00,2026-02-14 00:00:00,2026-05-18 00:00:00,2026-05-24 00:00:00,322,false,not moving forward this year,Opportunity delayed to next year,0.90,not moving forward this year,claude-haiku-4-5-20251001,CRM
OPP00013,ECI3054,V000004,V000004,true,PersonAccount,,Opportunity Identified,EARLY,1031285.56,0.00,2026-08-10 00:00:00,2026-04-07 00:00:00,2026-05-11 00:00:00,2026-05-28 00:00:00,-154,true,"discussed generally, no decision",no decision made yet,0.85,no decision,claude-haiku-4-5-20251001,CRM
OPP00014,ECI3061,V000004,V000004,true,Strategic_Household,,Meeting Scheduled,MID,1513656.98,0.00,2026-09-16 00:00:00,2026-03-26 00:00:00,2026-05-25 00:00:00,2026-05-26 00:00:00,-126,true,follow up next week,,,,claude-haiku-4-5-20251001,CRM
OPP00015,ECI3006,V000005,V000005,true,Prospect,,Proposal Generated,LATE,0.00,0.00,2026-08-11 00:00:00,2026-01-10 00:00:00,2026-06-09 00:00:00,2026-05-01 00:00:00,-168,true,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00016,ECI3013,V000005,V000005,true,Prospect,,Verbal Commitment,LATE,1091509.72,2117943.33,2026-07-16 00:00:00,2026-02-13 00:00:00,2026-06-01 00:00:00,2026-05-11 00:00:00,51,false,follow up next week,,,,claude-haiku-4-5-20251001,CRM
OPP00017,ECI3020,V000005,V000005,true,Strategic_Household,,Planning,MID,1163873.41,0.00,2026-07-18 00:00:00,2026-04-07 00:00:00,2026-05-26 00:00:00,2026-05-07 00:00:00,130,false,,,,,,CRM
OPP00018,ECI3117,V000005,V000005,true,PersonAccount,,Meeting Scheduled,MID,0.00,0.00,2026-09-17 00:00:00,2026-01-02 00:00:00,2026-06-21 00:00:00,2026-03-02 00:00:00,78,false,"client verbally committed, paperwork next week",Verbal commitment obtained,0.95,client verbally committed,claude-haiku-4-5-20251001,CRM
OPP00019,ECI3124,V000005,V000005,true,Business_Prospect,,Proposal Generated,LATE,0.00,2657374.12,2026-09-15 00:00:00,2026-01-07 00:00:00,2026-05-18 00:00:00,2026-06-05 00:00:00,-86,true,LMS and JPMCAP conservative,,,,claude-haiku-4-5-20251001,CRM
OPP00020,ECI3027,V000006,V000006,true,Business_Prospect,,Funding,CLOSING,0.00,241847.27,2026-09-23 00:00:00,2026-03-25 00:00:00,2026-06-20 00:00:00,2026-05-22 00:00:00,105,false,,,,,,CRM
OPP00021,ECI3034,V000006,V000006,true,PersonAccount,,Meeting Held,MID,0.00,0.00,2026-08-28 00:00:00,2026-03-17 00:00:00,2026-06-17 00:00:00,2026-05-05 00:00:00,216,false,new acct opened,Account successfully opened,0.90,new acct opened,claude-haiku-4-5-20251001,CRM
OPP00022,ECI3041,V000006,V000006,true,Prospect,,Positive Buying Signals,MID,0.00,0.00,2026-07-06 00:00:00,2026-01-04 00:00:00,2026-05-26 00:00:00,2026-03-26 00:00:00,-35,true,waiting on client,Awaiting client response,0.85,waiting on client,claude-haiku-4-5-20251001,CRM
OPP00023,ECI3000,V000007,V000007,true,Business_Prospect,,Opportunity Identified,EARLY,1563661.07,0.00,2026-07-26 00:00:00,2026-04-23 00:00:00,2026-06-14 00:00:00,2026-05-24 00:00:00,166,false,,,,,,CRM
OPP00024,ECI3097,V000007,V000007,true,Business_Prospect,,Funding,CLOSING,0.00,916445.66,2026-09-19 00:00:00,2026-01-12 00:00:00,2026-06-17 00:00:00,2026-06-01 00:00:00,-103,true,call back after quarter end,Follow-up scheduled after quarter end,0.85,call back after quarter end,claude-haiku-4-5-20251001,CRM
OPP00025,ECI3104,V000007,V000007,true,PersonAccount,,Opportunity Identified,EARLY,0.00,0.00,2026-08-19 00:00:00,2026-03-24 00:00:00,2026-06-02 00:00:00,2026-05-14 00:00:00,-91,true,Awaiting application process,In application process stage,0.85,Awaiting application process,claude-haiku-4-5-20251001,CRM
OPP00026,ECI3111,V000007,V000007,true,Business_Prospect,,Proposal,LATE,375519.21,2031980.76,2026-09-10 00:00:00,2026-02-07 00:00:00,2026-05-12 00:00:00,2026-05-05 00:00:00,2,false,follow up next week,,,,claude-haiku-4-5-20251001,CRM
OPP00027,ECI3118,V000007,V000007,true,IndustriesBusiness,,Planning,MID,0.00,0.00,2026-08-09 00:00:00,2026-03-03 00:00:00,2026-06-01 00:00:00,2026-03-22 00:00:00,29,false,"discussed generally, no decision",No decision made yet,0.85,no decision,claude-haiku-4-5-20251001,CRM
OPP00028,ECI3007,V000008,V000008,true,Prospect,,Contact Attempted,EARLY,0.00,0.00,2026-07-01 00:00:00,2026-04-02 00:00:00,2026-06-24 00:00:00,2026-04-28 00:00:00,22,false,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00029,ECI3014,V000008,V000008,true,PersonAccount,,Onboarding,CLOSING,0.00,203949.09,2026-07-08 00:00:00,2026-03-08 00:00:00,2026-06-28 00:00:00,2026-06-12 00:00:00,-102,true,sent brochure,Brochure sent to prospect,0.85,sent brochure,claude-haiku-4-5-20251001,CRM
OPP00030,ECI3021,V000008,V000008_CWM_INVALID,false,Strategic_Household,,Planning,MID,0.00,0.00,2026-07-04 00:00:00,2026-04-05 00:00:00,2026-05-06 00:00:00,2026-04-27 00:00:00,271,false,"Opened a CD 4 months, we will review his situation in 4 months","CD opened, review scheduled in 4 months",0.85,"Opened a CD 4 months, we will review his situation in 4 months",claude-haiku-4-5-20251001,CRM
OPP00031,ECI3028,V000008,V000008,true,IndustriesHousehold,,Funding,CLOSING,0.00,456477.85,2026-07-04 00:00:00,2026-02-23 00:00:00,2026-05-15 00:00:00,2026-06-16 00:00:00,-21,true,,,,,,CRM
OPP00032,ECI3077,V000009,V000009,true,Business_Prospect,,Meeting Scheduled,MID,934716.71,0.00,2026-09-19 00:00:00,2026-04-22 00:00:00,2026-06-13 00:00:00,2026-05-22 00:00:00,146,false,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00033,ECI3084,V000009,V000009,true,Prospect,,Meeting Held,MID,0.00,0.00,2026-08-10 00:00:00,2026-01-01 00:00:00,2026-05-26 00:00:00,2026-03-20 00:00:00,15,false,waiting on client,Awaiting client response,0.85,waiting on client,claude-haiku-4-5-20251001,CRM
OPP00034,ECI3091,V000009,V000009,true,PersonAccount,,Funding,CLOSING,0.00,985622.75,2026-07-14 00:00:00,2026-03-19 00:00:00,2026-05-06 00:00:00,2026-06-27 00:00:00,-5,true,left voicemail,,,,claude-haiku-4-5-20251001,CRM
OPP00035,ECI3098,V000009,V000009,true,Strategic_Household,,Proposal Generated,LATE,0.00,1638404.22,2026-08-12 00:00:00,2026-04-15 00:00:00,2026-05-16 00:00:00,2026-04-19 00:00:00,283,false,sent brochure,Brochure sent to prospect,0.85,sent brochure,claude-haiku-4-5-20251001,CRM
OPP00036,ECI3001,V000010,V000010,true,IndustriesHousehold,,Verbal Commitment,LATE,0.00,1593150.56,2026-09-20 00:00:00,2026-01-17 00:00:00,2026-05-08 00:00:00,2026-05-22 00:00:00,153,false,waiting on client,Awaiting client response,0.85,waiting on client,claude-haiku-4-5-20251001,CRM
OPP00037,ECI3008,V000010,V000010,true,Prospect,,Proposal Generated,LATE,1425655.48,810848.54,2026-07-01 00:00:00,2026-01-06 00:00:00,2026-06-06 00:00:00,2026-03-07 00:00:00,170,false,,,,,,CRM
OPP00038,ECI3015,V000010,V000010,true,IndustriesBusiness,,Funding,CLOSING,0.00,2891441.96,2026-09-10 00:00:00,2026-03-20 00:00:00,2026-05-25 00:00:00,2026-03-07 00:00:00,28,false,,,,,,CRM
OPP00039,ECI3022,V000010,V000010,true,IndustriesHousehold,,Proposal Generated,LATE,957082.25,2111804.49,2026-09-10 00:00:00,2026-02-16 00:00:00,2026-06-26 00:00:00,2026-06-04 00:00:00,102,false,,,,,,CRM
OPP00040,ECI3057,V000011,V000011,true,IndustriesBusiness,,Contact Made,EARLY,228508.78,0.00,2026-07-09 00:00:00,2026-03-16 00:00:00,2026-06-04 00:00:00,2026-05-20 00:00:00,-20,true,"Opened a CD 4 months, we will review his situation in 4 months","CD opened, review in 4 months",0.85,"Opened a CD 4 months, we will review his situation in 4 months",claude-haiku-4-5-20251001,CRM
OPP00041,ECI3064,V000011,V000011,true,IndustriesBusiness,,Planning,MID,1297825.92,0.00,2026-07-05 00:00:00,2026-01-08 00:00:00,2026-06-18 00:00:00,2026-04-06 00:00:00,207,false,closed won,Opportunity closed successfully,0.95,closed won,claude-haiku-4-5-20251001,CRM
OPP00042,ECI3071,V000011,V000011,true,Strategic_Household,,Qualified Prospect,EARLY,410675.40,0.00,2026-09-23 00:00:00,2026-02-14 00:00:00,2026-05-16 00:00:00,2026-03-03 00:00:00,-67,true,,,,,,CRM
OPP00043,ECI3078,V000011,V000011,true,Business_Prospect,,Opportunity,EARLY,97367.55,0.00,2026-08-28 00:00:00,2026-02-17 00:00:00,2026-06-27 00:00:00,2026-06-11 00:00:00,142,false,closed won,Deal successfully closed,0.95,closed won,claude-haiku-4-5-20251001,CRM
OPP00044,ECI3002,V000012,V000012,true,Business_Prospect,,Verbal Commitment,LATE,693203.85,1297443.73,2026-07-04 00:00:00,2026-03-12 00:00:00,2026-06-14 00:00:00,2026-03-20 00:00:00,-57,true,"client verbally committed, paperwork next week","Client committed, paperwork pending",0.95,"client verbally committed, paperwork next week",claude-haiku-4-5-20251001,CRM
OPP00045,ECI3006,V000012,V000012,true,Strategic_Household,,Proposal,LATE,0.00,1425999.20,2026-08-17 00:00:00,2026-01-14 00:00:00,2026-06-12 00:00:00,2026-04-15 00:00:00,9,false,LMS and JPMCAP conservative,,,,claude-haiku-4-5-20251001,CRM
OPP00046,ECI3009,V000012,V000012,true,Prospect,,Funding,CLOSING,0.00,1584883.19,2026-09-12 00:00:00,2026-01-21 00:00:00,2026-06-16 00:00:00,2026-05-25 00:00:00,73,false,,,,,,CRM
OPP00047,ECI3037,V000013,V000013,true,IndustriesHousehold,,Planning,MID,30097.67,0.00,2026-09-14 00:00:00,2026-04-19 00:00:00,2026-06-08 00:00:00,2026-06-18 00:00:00,78,false,,,,,,CRM
OPP00048,ECI3044,V000013,V000013,true,Business_Prospect,,Contact Attempted,EARLY,1768770.90,0.00,2026-07-23 00:00:00,2026-01-23 00:00:00,2026-06-05 00:00:00,2026-06-20 00:00:00,25,false,not moving forward this year,Opportunity paused until next year,0.92,not moving forward this year,claude-haiku-4-5-20251001,CRM
OPP00049,ECI3051,V000013,V000013,true,Prospect,,Positive Buying Signals,MID,0.00,0.00,2026-08-04 00:00:00,2026-04-18 00:00:00,2026-05-20 00:00:00,2026-04-27 00:00:00,-123,true,"discussed generally, no decision",No decision made yet,0.85,no decision,claude-haiku-4-5-20251001,CRM
OPP00050,ECI3058,V000013,V000013_CWM_INVALID,false,IndustriesBusiness,,Opportunity Identified,EARLY,0.00,0.00,2026-07-24 00:00:00,2026-01-12 00:00:00,2026-05-20 00:00:00,2026-03-26 00:00:00,343,false,,,,,,CRM
OPP00051,ECI3003,V000014,V000014,true,Strategic_Household,,Opportunity,EARLY,903765.67,0.00,2026-07-26 00:00:00,2026-01-27 00:00:00,2026-06-17 00:00:00,2026-05-11 00:00:00,184,false,"client verbally committed, paperwork next week","Client committed, paperwork pending",0.92,"client verbally committed, paperwork next week",claude-haiku-4-5-20251001,CRM
OPP00052,ECI3010,V000014,V000014,true,PersonAccount,,Onboarding,CLOSING,0.00,2700935.32,2026-07-07 00:00:00,2026-03-05 00:00:00,2026-06-23 00:00:00,2026-06-12 00:00:00,24,false,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00053,ECI3107,V000014,V000014,true,Business_Prospect,,Qualified Prospect,EARLY,1650778.19,0.00,2026-09-18 00:00:00,2026-03-16 00:00:00,2026-06-05 00:00:00,2026-05-14 00:00:00,325,false,,,,,,CRM
OPP00054,ECI3114,V000014,V000014,true,IndustriesBusiness,,Verbal Commitment,LATE,0.00,692031.96,2026-09-04 00:00:00,2026-01-18 00:00:00,2026-05-23 00:00:00,2026-05-19 00:00:00,288,false,"Opened a CD 4 months, we will review his situation in 4 months","CD opened, review scheduled in 4 months",0.85,"Opened a CD 4 months, we will review his situation in 4 months",claude-haiku-4-5-20251001,CRM
OPP00055,ECI3121,V000014,V000014,true,Business_Prospect,,Contact Made,EARLY,0.00,0.00,2026-07-08 00:00:00,2026-02-05 00:00:00,2026-05-16 00:00:00,2026-06-01 00:00:00,-174,true,spoke briefly,,,,claude-haiku-4-5-20251001,CRM
OPP00056,ECI3017,V000015,V000015,true,IndustriesHousehold,,Planning,MID,1951899.08,0.00,2026-09-28 00:00:00,2026-04-09 00:00:00,2026-06-10 00:00:00,2026-05-15 00:00:00,-106,true,,,,,,CRM
OPP00057,ECI3024,V000015,V000015,true,IndustriesBusiness,,Meeting Scheduled,MID,0.00,0.00,2026-09-07 00:00:00,2026-01-12 00:00:00,2026-05-02 00:00:00,2026-04-24 00:00:00,-43,true,closed won,Deal closed successfully,0.95,closed won,claude-haiku-4-5-20251001,CRM
OPP00058,ECI3031,V000015,V000015,true,IndustriesBusiness,,Contact Attempted,EARLY,0.00,0.00,2026-09-20 00:00:00,2026-03-07 00:00:00,2026-05-27 00:00:00,2026-03-09 00:00:00,-34,true,call back after quarter end,Follow-up scheduled post-quarter,0.85,call back after quarter end,claude-haiku-4-5-20251001,CRM
OPP00059,ECI3087,V000016,V000016,true,Prospect,,Meeting Held,MID,0.00,0.00,2026-09-25 00:00:00,2026-04-07 00:00:00,2026-05-16 00:00:00,2026-03-28 00:00:00,85,false,"discussed generally, no decision",No decision yet made,0.85,no decision,claude-haiku-4-5-20251001,CRM
OPP00060,ECI3094,V000016,V000016,true,IndustriesBusiness,,Meeting Held,MID,0.00,0.00,2026-08-18 00:00:00,2026-04-22 00:00:00,2026-06-09 00:00:00,2026-06-08 00:00:00,-125,true,,,,,,CRM
OPP00061,ECI3101,V000016,V000016,true,Strategic_Household,,Contact Made,EARLY,1293717.79,0.00,2026-09-09 00:00:00,2026-01-22 00:00:00,2026-06-11 00:00:00,2026-04-03 00:00:00,14,false,no update,,,,claude-haiku-4-5-20251001,CRM
OPP00062,ECI3004,V000017,V000017,true,Strategic_Household,,Contact Attempted,EARLY,0.00,0.00,2026-09-04 00:00:00,2026-01-21 00:00:00,2026-05-22 00:00:00,2026-06-04 00:00:00,283,false,,,,,,CRM
OPP00063,ECI3011,V000017,V000017,true,IndustriesHousehold,,Opportunity,EARLY,0.00,0.00,2026-08-20 00:00:00,2026-02-13 00:00:00,2026-05-18 00:00:00,2026-04-14 00:00:00,-70,true,reviewing with spouse,,,,claude-haiku-4-5-20251001,CRM
OPP00064,ECI3018,V000017,V000017,true,PersonAccount,,Funding,CLOSING,0.00,767841.47,2026-08-19 00:00:00,2026-01-25 00:00:00,2026-05-11 00:00:00,2026-04-11 00:00:00,90,false,no update,,,,claude-haiku-4-5-20251001,CRM
OPP00065,ECI3025,V000017,V000017,true,IndustriesBusiness,,Verbal Commitment,LATE,0.00,2114850.17,2026-09-16 00:00:00,2026-04-03 00:00:00,2026-05-14 00:00:00,2026-04-05 00:00:00,331,false,sent brochure,Materials sent to prospect,0.72,sent brochure,claude-haiku-4-5-20251001,CRM
OPP00066,ECI3032,V000017,V000017,true,IndustriesHousehold,,Positive Buying Signals,MID,0.00,0.00,2026-07-02 00:00:00,2026-02-04 00:00:00,2026-06-12 00:00:00,2026-04-18 00:00:00,180,false,left voicemail,,,,claude-haiku-4-5-20251001,CRM
OPP00067,ECI3067,V000018,V000018,true,Strategic_Household,,Planning,MID,579943.03,0.00,2026-09-28 00:00:00,2026-03-23 00:00:00,2026-05-03 00:00:00,2026-03-15 00:00:00,-6,true,,,,,,CRM
OPP00068,ECI3074,V000018,V000018,true,Prospect,,Proposal,LATE,0.00,0.00,2026-07-27 00:00:00,2026-04-02 00:00:00,2026-06-10 00:00:00,2026-04-20 00:00:00,-164,true,left voicemail,,,,claude-haiku-4-5-20251001,CRM
OPP00069,ECI3081,V000018,V000018,true,PersonAccount,,Opportunity Identified,EARLY,1079250.40,0.00,2026-07-11 00:00:00,2026-03-12 00:00:00,2026-06-04 00:00:00,2026-06-05 00:00:00,290,false,spoke briefly,,,,claude-haiku-4-5-20251001,CRM
OPP00070,ECI3088,V000018,V000018_CWM_INVALID,false,PersonAccount,,Meeting Scheduled,MID,0.00,0.00,2026-09-01 00:00:00,2026-04-03 00:00:00,2026-05-10 00:00:00,2026-06-02 00:00:00,152,false,client travelling,,,,claude-haiku-4-5-20251001,CRM
OPP00071,ECI3005,V000019,V000019,true,Business_Prospect,,Meeting Scheduled,MID,0.00,0.00,2026-08-28 00:00:00,2026-04-13 00:00:00,2026-06-09 00:00:00,2026-05-08 00:00:00,-93,true,new acct opened,Account successfully opened,0.85,new acct opened,claude-haiku-4-5-20251001,CRM
OPP00072,ECI3012,V000019,V000019,true,PersonAccount,,Contact Attempted,EARLY,0.00,0.00,2026-09-10 00:00:00,2026-04-06 00:00:00,2026-06-27 00:00:00,2026-05-18 00:00:00,-53,true,spoke briefly,,,,claude-haiku-4-5-20251001,CRM
OPP00073,ECI3019,V000019,V000019,true,IndustriesHousehold,,Onboarding,CLOSING,0.00,467588.89,2026-07-02 00:00:00,2026-01-10 00:00:00,2026-05-23 00:00:00,2026-06-24 00:00:00,-23,true,call back after quarter end,Follow-up scheduled post-quarter,0.85,call back after quarter end,claude-haiku-4-5-20251001,CRM
OPP00074,ECI3026,V000019,V000019,true,Prospect,,Contact Attempted,EARLY,0.00,0.00,2026-09-10 00:00:00,2026-04-17 00:00:00,2026-06-26 00:00:00,2026-03-17 00:00:00,-173,true,follow up next week,,,,claude-haiku-4-5-20251001,CRM
OPP00075,ECI3047,V000020,V000020,true,IndustriesHousehold,,Verbal Commitment,LATE,293045.89,1544128.99,2026-07-13 00:00:00,2026-01-23 00:00:00,2026-05-28 00:00:00,2026-06-06 00:00:00,-140,true,"discussed generally, no decision",No decision made yet,0.85,no decision,claude-haiku-4-5-20251001,CRM
OPP00076,ECI3054,V000020,V000020,true,PersonAccount,,Opportunity,EARLY,1343904.65,0.00,2026-07-05 00:00:00,2026-03-02 00:00:00,2026-05-06 00:00:00,2026-03-14 00:00:00,110,false,closed won,Opportunity successfully closed,0.95,closed won,claude-haiku-4-5-20251001,CRM
OPP00077,ECI3061,V000020,V000020,true,Prospect,,Positive Buying Signals,MID,121966.44,0.00,2026-08-03 00:00:00,2026-02-16 00:00:00,2026-05-06 00:00:00,2026-03-09 00:00:00,232,false,spoke briefly,,,,claude-haiku-4-5-20251001,CRM
