from_id,to_id
100249|1|V000003,ALTI|
100250|1|V000003,ALTI|
100251|1|V000003,DCCR|
100252|1|V000003,DCCR|
100253|1|V000003,LEND|SBL
100254|1|V000003,LEND|SBL
100255|1|V000003,EDK|
100256|1|V000003,EDK|
100257|1|V000003,OIS1|
100258|1|V000003,JPMC|
100259|1|V000003,MAP|
100260|1|V000003,UMA|
100261|1|V000003,ITMF|
100262|1|V000003,MMKT|
100263|1|V000003,PRDP|
100264|1|V000003,529T|
100265|1|V000003,DAF|
100266|1|V000003,STRT|
100267|1|V000003,ELIS|EQ
100268|1|V000003,FCXX|
100269|1|V000003,FMXX|
100270|1|V000003,VARI|
100271|1|V000003,LIFE|
100272|1|V000003,ALTI|
100273|1|V000003,DCCR|
100274|1|V000003,LEND|SBL
100275|1|V000003,EDK|
100276|1|V000004,OISC|
100277|1|V000004,OISC|
100278|1|V000004,JPMC|
100279|1|V000004,JPMC|
100280|1|V000004,MAP|
100281|1|V000004,MAP|
100282|1|V000004,UMA|
100283|1|V000004,UMA|
100284|1|V000004,ADVA|
100285|1|V000004,ADVA|
100286|1|V000004,MMKT|
100287|1|V000004,MMKT|
100288|1|V000004,DAF|
100289|1|V000004,DAF|
100290|1|V000004,ELIS|EQ
100291|1|V000004,ELIS|EQ
100292|1|V000004,ELIS|OP
100293|1|V000004,ELIS|OP
100294|1|V000004,FMXX|
100295|1|V000004,FMXX|
100296|1|V000004,FGXX|
100297|1|V000004,FGXX|
100298|1|V000004,FCOT|
100299|1|V000004,FCOT|
100300|1|V000004,FCCD|
100301|1|V000004,FCCD|
100302|1|V000004,FIX|
100303|1|V000004,FIX|
100304|1|V000004,LIFE|
100305|1|V000004,LIFE|
100306|1|V000004,DCCR|
100307|1|V000004,DCCR|
100308|1|V000004,LEND|SBL
100309|1|V000004,LEND|SBL
100310|1|V000004,LEND|MGN
100311|1|V000004,LEND|MGN
100312|1|V000004,EDK|
100313|1|V000004,EDK|
100314|1|V000004,OISC|
100315|1|V000004,OISC|
100316|1|V000004,JPMC|
100317|1|V000004,JPMC|
100318|1|V000004,MAP|
100319|1|V000004,MAP|
100320|1|V000004,UMA|
100321|1|V000004,UMA|
100322|1|V000004,ADVA|
100323|1|V000004,ADVA|
100324|1|V000004,MMKT|
100325|1|V000004,MMKT|
100326|1|V000004,DAF|
100327|1|V000004,DAF|
100328|1|V000004,ELIS|EQ
100329|1|V000004,ELIS|EQ
100330|1|V000004,ELIS|OP
100331|1|V000004,ELIS|OP
100332|1|V000004,FMXX|
100333|1|V000004,FMXX|
100334|1|V000004,FGXX|
100335|1|V000004,FGXX|
100336|1|V000004,FCOT|
100337|1|V000004,FCOT|
100338|1|V000004,FCCD|
100339|1|V000004,FCCD|
100340|1|V000004,FIX|
100341|1|V000004,FIX|
100342|1|V000004,LIFE|
100343|1|V000004,LIFE|
100344|1|V000004,DCCR|
100345|1|V000004,DCCR|
100346|1|V000004,LEND|SBL
100347|1|V000004,LEND|SBL
100348|1|V000004,LEND|MGN
100349|1|V000004,LEND|MGN
100350|1|V000004,EDK|
100351|1|V000004,EDK|
100352|1|V000004,OISC|
100353|1|V000004,JPMC|
100354|1|V000004,MAP|
100355|1|V000004,UMA|
100356|1|V000004,ADVA|
100357|1|V000004,MMKT|
100358|1|V000004,DAF|
100359|1|V000004,ELIS|EQ
100360|1|V000004,ELIS|OP
100361|1|V000004,FMXX|
100362|1|V000004,FGXX|
100363|1|V000004,FCOT|
100364|1|V000004,FCCD|
100365|1|V000004,FIX|
100366|1|V000004,LIFE|
100367|1|V000004,DCCR|
100368|1|V000004,LEND|SBL
100369|1|V000004,LEND|MGN
100370|1|V000004,EDK|
100371|1|V000005,OISC|
100372|1|V000005,OISC|
100373|1|V000005,OIS1|
100374|1|V000005,OIS1|
100375|1|V000005,JPMC|
100376|1|V000005,JPMC|
100377|1|V000005,MAP|
100378|1|V000005,MAP|
100379|1|V000005,UMA|
100380|1|V000005,UMA|
100381|1|V000005,ITMF|
100382|1|V000005,ITMF|
100383|1|V000005,ADVA|
100384|1|V000005,ADVA|
100385|1|V000005,PRDP|
100386|1|V000005,PRDP|
100387|1|V000005,PCS|
100388|1|V000005,PCS|
100389|1|V000005,DAF|
100390|1|V000005,DAF|
100391|1|V000005,STRT|
100392|1|V000005,STRT|
100393|1|V000005,ELIS|EQ
100394|1|V000005,ELIS|EQ
100395|1|V000005,FCOT|
100396|1|V000005,FCOT|
100397|1|V000005,FCCD|
100398|1|V000005,FCCD|
100399|1|V000005,VARI|
100400|1|V000005,VARI|
100401|1|V000005,DCCR|
100402|1|V000005,DCCR|
100403|1|V000005,LEND|MGN
100404|1|V000005,LEND|MGN
100405|1|V000005,EDK|
100406|1|V000005,EDK|
100407|1|V000005,OISC|
100408|1|V000005,OISC|
100409|1|V000005,OIS1|
100410|1|V000005,OIS1|
100411|1|V000005,JPMC|
100412|1|V000005,JPMC|
100413|1|V000005,MAP|
100414|1|V000005,MAP|
100415|1|V000005,UMA|
100416|1|V000005,UMA|
100417|1|V000005,ITMF|
100418|1|V000005,ITMF|
100419|1|V000005,ADVA|
100420|1|V000005,ADVA|
100421|1|V000005,PRDP|
100422|1|V000005,PRDP|
100423|1|V000005,PCS|
100424|1|V000005,PCS|
100425|1|V000005,DAF|
100426|1|V000005,DAF|
100427|1|V000005,STRT|
100428|1|V000005,STRT|
100429|1|V000005,ELIS|EQ
100430|1|V000005,ELIS|EQ
100431|1|V000005,FCOT|
100432|1|V000005,FCOT|
100433|1|V000005,FCCD|
100434|1|V000005,FCCD|
100435|1|V000005,VARI|
100436|1|V000005,VARI|
100437|1|V000005,DCCR|
100438|1|V000005,DCCR|
100439|1|V000005,LEND|MGN
100440|1|V000005,LEND|MGN
100441|1|V000005,EDK|
100442|1|V000005,EDK|
100443|1|V000005,OISC|
100444|1|V000005,OIS1|
100445|1|V000005,JPMC|
100446|1|V000005,MAP|
100447|1|V000005,UMA|
100448|1|V000005,ITMF|
100449|1|V000005,ADVA|
100450|1|V000005,PRDP|
100451|1|V000005,PCS|
100452|1|V000005,DAF|
100453|1|V000005,STRT|
100454|1|V000005,ELIS|EQ
100455|1|V000005,FCOT|
100456|1|V000005,FCCD|
100457|1|V000005,VARI|
100458|1|V000005,DCCR|
100459|1|V000005,LEND|MGN
100460|1|V000005,EDK|
100461|1|V000006,OISC|
100462|1|V000006,OISC|
100463|1|V000006,OIS1|
100464|1|V000006,OIS1|
100465|1|V000006,JPMC|
100466|1|V000006,JPMC|
100467|1|V000006,MAP|
100468|1|V000006,MAP|
100469|1|V000006,UMA|
100470|1|V000006,UMA|
100471|1|V000006,ATMF|
100472|1|V000006,ATMF|
100473|1|V000006,ITMF|
100474|1|V000006,ITMF|
100475|1|V000006,MMKT|
100476|1|V000006,MMKT|
100477|1|V000006,PCS|
100478|1|V000006,PCS|
100479|1|V000006,529T|
100480|1|V000006,529T|
100481|1|V000006,ELIS|OP
100482|1|V000006,ELIS|OP
100483|1|V000006,MUFD|
100484|1|V000006,MUFD|
100485|1|V000006,FMXX|
100486|1|V000006,FMXX|
100487|1|V000006,FGXX|
100488|1|V000006,FGXX|
100489|1|V000006,FCOT|
100490|1|V000006,FCOT|
100491|1|V000006,FCCD|
100492|1|V000006,FCCD|
100493|1|V000006,VARI|
100494|1|V000006,VARI|
100495|1|V000006,LIFE|
100496|1|V000006,LIFE|
100497|1|V000006,ALTI|
100498|1|V000006,ALTI|
100499|1|V000006,DCCR|
100500|1|V000006,DCCR|
100501|1|V000006,LEND|MGN
100502|1|V000006,LEND|MGN
100503|1|V000006,EDK|
100504|1|V000006,EDK|
100505|1|V000006,OISC|
100506|1|V000006,OISC|
100507|1|V000006,OIS1|
100508|1|V000006,OIS1|
100509|1|V000006,JPMC|
100510|1|V000006,JPMC|
100511|1|V000006,MAP|
100512|1|V000006,MAP|
100513|1|V000006,UMA|
100514|1|V000006,UMA|
100515|1|V000006,ATMF|
100516|1|V000006,ATMF|
100517|1|V000006,ITMF|
100518|1|V000006,ITMF|
100519|1|V000006,MMKT|
100520|1|V000006,MMKT|
100521|1|V000006,PCS|
100522|1|V000006,PCS|
100523|1|V000006,529T|
100524|1|V000006,529T|
100525|1|V000006,ELIS|OP
100526|1|V000006,ELIS|OP
100527|1|V000006,MUFD|
100528|1|V000006,MUFD|
100529|1|V000006,FMXX|
100530|1|V000006,FMXX|
100531|1|V000006,FGXX|
100532|1|V000006,FGXX|
100533|1|V000006,FCOT|
100534|1|V000006,FCOT|
100535|1|V000006,FCCD|
100536|1|V000006,FCCD|
100537|1|V000006,VARI|
100538|1|V000006,VARI|
100539|1|V000006,LIFE|
100540|1|V000006,LIFE|
100541|1|V000006,ALTI|
100542|1|V000006,ALTI|
100543|1|V000006,DCCR|
100544|1|V000006,DCCR|
100545|1|V000006,LEND|MGN
100546|1|V000006,LEND|MGN
100547|1|V000006,EDK|
100548|1|V000006,EDK|
100549|1|V000006,OISC|
100550|1|V000006,OIS1|
100551|1|V000006,JPMC|
100552|1|V000006,MAP|
100553|1|V000006,UMA|
100554|1|V000006,ATMF|
100555|1|V000006,ITMF|
100556|1|V000006,MMKT|
100557|1|V000006,PCS|
100558|1|V000006,529T|
100559|1|V000006,ELIS|OP
100560|1|V000006,MUFD|
100561|1|V000006,FMXX|
100562|1|V000006,FGXX|
100563|1|V000006,FCOT|
100564|1|V000006,FCCD|
100565|1|V000006,VARI|
100566|1|V000006,LIFE|
100567|1|V000006,ALTI|
100568|1|V000006,DCCR|
100569|1|V000006,LEND|MGN
100570|1|V000006,EDK|
100571|1|V000007,OISC|
100572|1|V000007,OISC|
100573|1|V000007,OIS1|
100574|1|V000007,OIS1|
100575|1|V000007,MAP|
100576|1|V000007,MAP|
100577|1|V000007,ADVA|
100578|1|V000007,ADVA|
100579|1|V000007,529T|
100580|1|V000007,529T|
100581|1|V000007,ELIS|EQ
100582|1|V000007,ELIS|EQ
100583|1|V000007,MUFD|
100584|1|V000007,MUFD|
100585|1|V000007,FCXX|
100586|1|V000007,FCXX|
100587|1|V000007,FMXX|
100588|1|V000007,FMXX|
100589|1|V000007,FCCD|
100590|1|V000007,FCCD|
100591|1|V000007,FIX|
100592|1|V000007,FIX|
100593|1|V000007,VARI|
100594|1|V000007,VARI|
100595|1|V000007,LIFE|
100596|1|V000007,LIFE|
100597|1|V000007,ALTI|
100598|1|V000007,ALTI|
100599|1|V000007,LEND|SBL
100600|1|V000007,LEND|SBL
100601|1|V000007,EDK|
100602|1|V000007,EDK|
100603|1|V000007,OISC|
100604|1|V000007,OISC|
100605|1|V000007,OIS1|
100606|1|V000007,OIS1|
100607|1|V000007,MAP|
100608|1|V000007,MAP|
100609|1|V000007,ADVA|
100610|1|V000007,ADVA|
100611|1|V000007,529T|
100612|1|V000007,529T|
100613|1|V000007,ELIS|EQ
100614|1|V000007,ELIS|EQ
100615|1|V000007,MUFD|
100616|1|V000007,MUFD|
100617|1|V000007,FCXX|
100618|1|V000007,FCXX|
100619|1|V000007,FMXX|
100620|1|V000007,FMXX|
100621|1|V000007,FCCD|
100622|1|V000007,FCCD|
100623|1|V000007,FIX|
100624|1|V000007,FIX|
100625|1|V000007,VARI|
100626|1|V000007,VARI|
100627|1|V000007,LIFE|
100628|1|V000007,LIFE|
100629|1|V000007,ALTI|
100630|1|V000007,ALTI|
100631|1|V000007,LEND|SBL
100632|1|V000007,LEND|SBL
100633|1|V000007,EDK|
100634|1|V000007,EDK|
100635|1|V000007,OISC|
100636|1|V000007,OIS1|
100637|1|V000007,MAP|
100638|1|V000007,ADVA|
100639|1|V000007,529T|
100640|1|V000007,ELIS|EQ
100641|1|V000007,MUFD|
100642|1|V000007,FCXX|
100643|1|V000007,FMXX|
100644|1|V000007,FCCD|
100645|1|V000007,FIX|
100646|1|V000007,VARI|
100647|1|V000007,LIFE|
100648|1|V000007,ALTI|
100649|1|V000007,LEND|SBL
100650|1|V000007,EDK|
100651|1|V000008,JPMC|
100652|1|V000008,JPMC|
100653|1|V000008,MAP|
100654|1|V000008,MAP|
100655|1|V000008,UMA|
100656|1|V000008,UMA|
100657|1|V000008,ATMF|
100658|1|V000008,ATMF|
100659|1|V000008,ITMF|
100660|1|V000008,ITMF|
100661|1|V000008,ADVA|
100662|1|V000008,ADVA|
100663|1|V000008,MMKT|
100664|1|V000008,MMKT|
100665|1|V000008,PRDP|
100666|1|V000008,PRDP|
100667|1|V000008,PCS|
100668|1|V000008,PCS|
100669|1|V000008,529T|
100670|1|V000008,529T|
100671|1|V000008,STRT|
100672|1|V000008,STRT|
100673|1|V000008,ELIS|EQ
100674|1|V000008,ELIS|EQ
100675|1|V000008,ELIS|OP
100676|1|V000008,ELIS|OP
100677|1|V000008,FCXX|
100678|1|V000008,FCXX|
100679|1|V000008,FMXX|
100680|1|V000008,FMXX|
100681|1|V000008,FGXX|
100682|1|V000008,FGXX|
100683|1|V000008,FCCD|
100684|1|V000008,FCCD|
100685|1|V000008,FIX|
100686|1|V000008,FIX|
100687|1|V000008,VARI|
100688|1|V000008,VARI|
100689|1|V000008,ALTI|
100690|1|V000008,ALTI|
100691|1|V000008,DCCR|
100692|1|V000008,DCCR|
100693|1|V000008,LEND|SBL
100694|1|V000008,LEND|SBL
100695|1|V000008,LEND|MGN
100696|1|V000008,LEND|MGN
100697|1|V000008,EDK|
100698|1|V000008,EDK|
100699|1|V000008,JPMC|
100700|1|V000008,JPMC|
100701|1|V000008,MAP|
100702|1|V000008,MAP|
100703|1|V000008,UMA|
100704|1|V000008,UMA|
100705|1|V000008,ATMF|
100706|1|V000008,ATMF|
100707|1|V000008,ITMF|
100708|1|V000008,ITMF|
100709|1|V000008,ADVA|
100710|1|V000008,ADVA|
100711|1|V000008,MMKT|
100712|1|V000008,MMKT|
100713|1|V000008,PRDP|
100714|1|V000008,PRDP|
100715|1|V000008,PCS|
100716|1|V000008,PCS|
100717|1|V000008,529T|
100718|1|V000008,529T|
100719|1|V000008,STRT|
100720|1|V000008,STRT|
100721|1|V000008,ELIS|EQ
100722|1|V000008,ELIS|EQ
100723|1|V000008,ELIS|OP
100724|1|V000008,ELIS|OP
100725|1|V000008,FCXX|
100726|1|V000008,FCXX|
100727|1|V000008,FMXX|
100728|1|V000008,FMXX|
100729|1|V000008,FGXX|
100730|1|V000008,FGXX|
100731|1|V000008,FCCD|
100732|1|V000008,FCCD|
100733|1|V000008,FIX|
100734|1|V000008,FIX|
100735|1|V000008,VARI|
100736|1|V000008,VARI|
100737|1|V000008,ALTI|
100738|1|V000008,ALTI|
100739|1|V000008,DCCR|
100740|1|V000008,DCCR|
100741|1|V000008,LEND|SBL
100742|1|V000008,LEND|SBL
100743|1|V000008,LEND|MGN
100744|1|V000008,LEND|MGN
100745|1|V000008,EDK|
100746|1|V000008,EDK|
100747|1|V000008,JPMC|
100748|1|V000008,MAP|
100749|1|V000008,UMA|
100750|1|V000008,ATMF|
100751|1|V000008,ITMF|
100752|1|V000008,ADVA|
100753|1|V000008,MMKT|
100754|1|V000008,PRDP|
100755|1|V000008,PCS|
100756|1|V000008,529T|
100757|1|V000008,STRT|
100758|1|V000008,ELIS|EQ
100759|1|V000008,ELIS|OP
100760|1|V000008,FCXX|
100761|1|V000008,FMXX|
100762|1|V000008,FGXX|
100763|1|V000008,FCCD|
100764|1|V000008,FIX|
100765|1|V000008,VARI|
100766|1|V000008,ALTI|
100767|1|V000008,DCCR|
100768|1|V000008,LEND|SBL
100769|1|V000008,LEND|MGN
100770|1|V000008,EDK|
100771|1|V000009,OISC|
100772|1|V000009,OISC|
100773|1|V000009,OIS1|
100774|1|V000009,OIS1|
100775|1|V000009,JPMC|
100776|1|V000009,JPMC|
100777|1|V000009,MAP|
100778|1|V000009,MAP|
100779|1|V000009,ATMF|
100780|1|V000009,ATMF|
100781|1|V000009,ITMF|
100782|1|V000009,ITMF|
100783|1|V000009,PRDP|
100784|1|V000009,529T|
100785|1|V000009,529T|
100786|1|V000009,ELIS|EQ
100787|1|V000009,ELIS|EQ
100788|1|V000009,MUFD|
100789|1|V000009,MUFD|
100790|1|V000009,FCXX|
100791|1|V000009,FCXX|
100792|1|V000009,FMXX|
100793|1|V000009,FMXX|
100794|1|V000009,FGXX|
100795|1|V000009,FCOT|
100796|1|V000009,FCCD|
100797|1|V000009,FCCD|
100798|1|V000009,FIX|
100799|1|V000009,LIFE|
100800|1|V000009,DCCR|
100801|1|V000009,DCCR|
100802|1|V000009,LEND|MGN
100803|1|V000009,LEND|MGN
100804|1|V000009,EDK|
100805|1|V000009,EDK|
100806|1|V000009,OISC|
100807|1|V000009,OISC|
100808|1|V000009,OIS1|
100809|1|V000009,OIS1|
100810|1|V000009,JPMC|
100811|1|V000009,JPMC|
100812|1|V000009,MAP|
100813|1|V000009,MAP|
100814|1|V000009,ATMF|
100815|1|V000009,ATMF|
100816|1|V000009,ITMF|
100817|1|V000009,ITMF|
100818|1|V000009,PRDP|
100819|1|V000009,PRDP|
100820|1|V000009,529T|
100821|1|V000009,529T|
100822|1|V000009,ELIS|EQ
100823|1|V000009,ELIS|EQ
100824|1|V000009,MUFD|
100825|1|V000009,MUFD|
100826|1|V000009,FCXX|
100827|1|V000009,FCXX|
100828|1|V000009,FMXX|
100829|1|V000009,FMXX|
100830|1|V000009,FGXX|
100831|1|V000009,FGXX|
100832|1|V000009,FCOT|
100833|1|V000009,FCOT|
100834|1|V000009,FCCD|
100835|1|V000009,FCCD|
100836|1|V000009,FIX|
100837|1|V000009,FIX|
100838|1|V000009,LIFE|
100839|1|V000009,LIFE|
100840|1|V000009,DCCR|
100841|1|V000009,DCCR|
100842|1|V000009,LEND|MGN
100843|1|V000009,LEND|MGN
100844|1|V000009,EDK|
100845|1|V000009,EDK|
100846|1|V000009,OISC|
100847|1|V000009,OIS1|
100848|1|V000009,JPMC|
100849|1|V000009,MAP|
100850|1|V000009,ATMF|
100851|1|V000009,ITMF|
100852|1|V000009,PRDP|
100853|1|V000009,529T|
100854|1|V000009,ELIS|EQ
100855|1|V000009,MUFD|
100856|1|V000009,FCXX|
100857|1|V000009,FMXX|
100858|1|V000009,FGXX|
100859|1|V000009,FCOT|
100860|1|V000009,FCCD|
100861|1|V000009,FIX|
100862|1|V000009,LIFE|
100863|1|V000009,DCCR|
100864|1|V000009,LEND|MGN
100865|1|V000009,EDK|
100866|1|V000010,MAP|
100867|1|V000010,UMA|
100868|1|V000010,UMA|
100869|1|V000010,ATMF|
100870|1|V000010,ATMF|
100871|1|V000010,MMKT|
100872|1|V000010,MMKT|
100873|1|V000010,PRDP|
100874|1|V000010,PCS|
100875|1|V000010,529T|
100876|1|V000010,529T|
100877|1|V000010,DAF|
100878|1|V000010,DAF|
100879|1|V000010,STRT|
100880|1|V000010,STRT|
100881|1|V000010,ELIS|EQ
100882|1|V000010,MUFD|
100883|1|V000010,MUFD|
100884|1|V000010,FCXX|
100885|1|V000010,FCXX|
100886|1|V000010,FMXX|
100887|1|V000010,FMXX|
100888|1|V000010,FCOT|
100889|1|V000010,FCOT|
100890|1|V000010,DCCR|
100891|1|V000010,DCCR|
100892|1|V000010,MAP|
100893|1|V000010,MAP|
100894|1|V000010,UMA|
100895|1|V000010,UMA|
100896|1|V000010,ATMF|
100897|1|V000010,ATMF|
100898|1|V000010,MMKT|
100899|1|V000010,MMKT|
100900|1|V000010,PRDP|
100901|1|V000010,PRDP|
100902|1|V000010,PCS|
100903|1|V000010,PCS|
100904|1|V000010,529T|
100905|1|V000010,529T|
100906|1|V000010,DAF|
100907|1|V000010,DAF|
100908|1|V000010,STRT|
100909|1|V000010,STRT|
100910|1|V000010,ELIS|EQ
100911|1|V000010,ELIS|EQ
100912|1|V000010,MUFD|
100913|1|V000010,MUFD|
100914|1|V000010,FCXX|
100915|1|V000010,FCXX|
100916|1|V000010,FMXX|
100917|1|V000010,FMXX|
100918|1|V000010,FCOT|
100919|1|V000010,FCOT|
100920|1|V000010,DCCR|
100921|1|V000010,DCCR|
100922|1|V000010,MAP|
100923|1|V000010,UMA|
100924|1|V000010,ATMF|
100925|1|V000010,MMKT|
100926|1|V000010,PRDP|
100927|1|V000010,PCS|
100928|1|V000010,529T|
100929|1|V000010,DAF|
100930|1|V000010,STRT|
100931|1|V000010,ELIS|EQ
100932|1|V000010,MUFD|
100933|1|V000010,FCXX|
100934|1|V000010,FMXX|
100935|1|V000010,FCOT|
100936|1|V000010,DCCR|
100937|1|V000011,OIS1|
100938|1|V000011,OIS1|
